threshold,score,feasible,precision,recall,f1,worst_group_sensitivity,macro_avg_fnr,fnr_gap,method,epsilon,clipping
0.005,2.037308203496761,False,0.15368673010683637,1.0,0.2664271436884852,1.0,0.0,0.0,MLP non-private,inf,none
0.01,2.038599624749565,False,0.1553005722376261,1.0,0.26884877575509997,1.0,0.0,0.0,MLP non-private,inf,none
0.015,2.037955505204617,False,0.15709807433945364,0.9994301994301994,0.27151702786377707,0.999194847020934,0.0005823679314603755,0.00044557009521129404,MLP non-private,inf,none
0.02,2.0376930820845516,False,0.15874645250890645,0.998670465337132,0.2739469091098549,0.998561668464581,0.0013230305020089739,0.00023060206681988025,MLP non-private,inf,none
0.025,2.0380649852264985,False,0.16042601238975862,0.9984805318138652,0.2764368722721775,0.9982020855807263,0.001502821943936338,0.0005901849506746088,MLP non-private,inf,none
0.03,2.03867314900077,False,0.16240768779161388,0.9982905982905983,0.27936642925481026,0.9978425026968716,0.0016826133858637024,0.0009497678345293371,MLP non-private,inf,none
0.04,2.0388164132954736,False,0.16608153841287915,0.997340930674264,0.2847459465321837,0.9967637540453075,0.0026245642011788065,0.0012233635070275006,MLP non-private,inf,none
0.05,2.0388578571195564,False,0.16947837890246267,0.996011396011396,0.2896677438064463,0.9956850053937433,0.003969091506026922,0.0006918062004596403,MLP non-private,inf,none
0.07,2.0330549520948864,False,0.1760204941517511,0.9918328584995252,0.298980877132715,0.9913700107874865,0.008139471256820349,0.0009810359113862693,MLP non-private,inf,none
0.1,2.01779165154948,False,0.184882642505529,0.9844254510921178,0.31130063965884863,0.9826892109500805,0.01566726076012695,0.0032870565795850726,MLP non-private,inf,none
0.12,2.006691017998429,False,0.19054658339184743,0.9792972459639127,0.31901992327682216,0.9766505636070854,0.020844081734752905,0.005010709316323501,MLP non-private,inf,none
0.15,1.9973707077774363,False,0.19840501722736248,0.97340930674264,0.3296243889889375,0.9706119162640902,0.026740068477088316,0.005296030517643012,MLP non-private,inf,none
0.18,1.9800865080511874,False,0.20647707392489523,0.9639126305792972,0.3401018630210428,0.961352657004831,0.03622406703875678,0.004846551912824598,MLP non-private,inf,none
0.2,1.9662090386140945,False,0.2112540327649055,0.957644824311491,0.3461485651517232,0.9545088566827697,0.04252263027062521,0.005937026093210139,MLP non-private,inf,none
0.22,1.947586818820591,False,0.2167526108246306,0.9500474833808167,0.352974384305977,0.9456521739130435,0.050187217610180884,0.008321216953551272,MLP non-private,inf,none
0.25,1.9262882311719642,False,0.22523917995444193,0.9390313390313391,0.36332904648171965,0.9347826086956522,0.061195534918624825,0.008043712771445992,MLP non-private,inf,none
0.3,1.864251605475314,False,0.23950666401432266,0.9147198480531814,0.3796161273794979,0.9066022544283414,0.08571361568406735,0.015368259775182525,MLP non-private,inf,none
0.35,1.7960929029686599,True,0.2551316437681318,0.8852801519468186,0.3961077589869975,0.8756038647342995,0.11523654300142269,0.018319184528555563,MLP non-private,inf,none
0.4,1.7207682751548423,True,0.2711608222490931,0.8518518518518519,0.41137353817931666,0.8417874396135265,0.1486855682191267,0.01905398433469349,MLP non-private,inf,none
0.45,1.6170795312300992,True,0.28815389807627406,0.8108262108262109,0.425199203187251,0.7971014492753623,0.18990666479058205,0.025983771868111266,MLP non-private,inf,none
0.5,1.5052075463401018,True,0.3087997536376934,0.7618233618233619,0.43946532266900407,0.748389694041868,0.23889396995137813,0.025432672013507823,MLP non-private,inf,none
0.005,1.9452411338298539,False,0.21192726656211588,0.949667616334283,0.3465243606625546,0.9460547504025765,0.05052530369119647,0.00683989181245407,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.01,1.7871330271846264,True,0.2561016382480776,0.8729344729344729,0.39601912886131574,0.8711755233494364,0.12715945155793193,0.0033300501852633335,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.015,1.5933413875609268,True,0.29139118936599623,0.7952516619183286,0.426505042273607,0.7866344605475041,0.20520847990244362,0.016314119100104746,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.02,1.432683407052535,True,0.315606936416185,0.725925925925926,0.43994244604316546,0.7181964573268921,0.27448681268858555,0.014633459969044582,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.025,1.3106384787521597,False,0.3355513307984791,0.6704653371320038,0.44726005701615457,0.6662640901771336,0.32975900129762514,0.007953817050482315,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.03,1.1972632142940318,False,0.3574947990802584,0.6201329534662868,0.4535352132240589,0.6179549114331723,0.37998334974907366,0.004123477635508022,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.04,0.9697421232701164,False,0.39238734956619087,0.5325735992402659,0.4518572234308275,0.5249597423510467,0.46783296593343027,0.014414583431046069,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.05,0.8080552185451397,False,0.42216538789428815,0.47027540360873693,0.4449236298292902,0.45933977455716585,0.5303085377483858,0.02070337538889666,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.07,0.5358445679302464,False,0.46061320754716983,0.37094017094017095,0.41094160967911625,0.3534621578099839,0.6299931210230915,0.03308944233384925,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.1,0.2678667679277277,False,0.4948311509303928,0.2727445394112061,0.3516591159544508,0.2532206119162641,0.728298000406485,0.036962775354501765,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.12,0.16613755317799533,False,0.5146124523506989,0.23076923076923078,0.31864673485444533,0.21578099838969403,0.7700311117364727,0.028375779747666696,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.15,0.0465760801813873,False,0.5407772304324029,0.18765432098765433,0.27862380146644106,0.1723027375201288,0.8131654237606116,0.02906367743851912,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.18,-0.050960066080793454,False,0.5588035350101972,0.15612535612535614,0.24406175771971497,0.13768115942028986,0.8448595281647202,0.03491862482997987,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.2,-0.09038622281222915,False,0.5687789799072643,0.13979107312440645,0.22442445494740051,0.12399355877616747,0.8610524834670044,0.029907915513656347,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.22,-0.1167333481069634,False,0.584055459272097,0.12801519468186134,0.21000155787505842,0.1143317230273752,0.8727154761346403,0.025905601675969003,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.25,-0.15961478531057818,False,0.5948717948717949,0.11016144349477683,0.1858974358974359,0.0998389694041868,0.8903897565780217,0.019542548035583085,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.3,-0.2272443094970559,False,0.6137566137566137,0.08812915479582147,0.15412722139179538,0.07648953301127215,0.9124923784062662,0.022036177164923454,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.35,-0.27650034171549,False,0.6142131979695431,0.06894586894586895,0.12397540983606557,0.061191626409017714,0.9314681925488173,0.01468036208432999,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.4,-0.3148193248465802,False,0.6228448275862069,0.05489078822412156,0.10089020771513353,0.048711755233494365,0.9454391601394556,0.011698169254100055,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.45,-0.3430254286206081,False,0.635593220338983,0.042735042735042736,0.0800854244527496,0.039452495974235106,0.9574402388881071,0.0062145302753154885,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.5,-0.37261837895194905,False,0.6788617886178862,0.031718898385565054,0.06060606060606061,0.027375201288244767,0.9685130466050685,0.008223504213373367,DP-SGD MLP ε=0.5 [fixed],0.5,fixed
0.005,1.9318801584711272,False,0.21547438945320943,0.9468186134852802,0.351056338028169,0.9400161030595813,0.05354462736269406,0.012878539155449245,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.01,1.7790611332655903,True,0.2561877746259525,0.8748338081671415,0.39631732920323526,0.8683574879227053,0.12551201475853227,0.012260994637524822,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.015,1.6071589923246044,True,0.2899165412505131,0.8049382716049382,0.4262938188402153,0.7926731078904992,0.1957166643215609,0.023220455575879817,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.02,1.4734967173603732,True,0.3148744365743722,0.743019943019943,0.44230877946746566,0.7342995169082126,0.25744571080155715,0.016509544580460583,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.025,1.3411763983080818,False,0.33586724761286735,0.6881291547958215,0.45140792424619985,0.678341384863124,0.3123934931132061,0.018530244047339828,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.03,1.205121850002323,False,0.3532085844169574,0.6345679012345679,0.45381689758217875,0.6223832528180354,0.3660827353313635,0.023068023701202256,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.04,1.0233927857692813,False,0.39135686485035565,0.5538461538461539,0.45863479081472164,0.5454911433172303,0.4465999874927693,0.015817738380000945,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.05,0.8340376799122311,False,0.41805965257292693,0.48452041785375116,0.44884314242984075,0.46980676328502413,0.5162652627300158,0.02785594796992008,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.07,0.5586523303019998,False,0.45358269490761605,0.38233618233618233,0.41492321962279705,0.36272141706924316,0.6187112080421494,0.03713474977721498,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.1,0.2817827611472991,False,0.49591280653950953,0.2765432098765432,0.3550786489452506,0.2580515297906602,0.7244442099338679,0.0350085205509435,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
0.12,0.14875362257970207,False,0.5164741121095422,0.22924976258309593,0.31754801368061036,0.20933977455716588,0.7718133921173178,0.037693666651032576,DP-SGD MLP ε=0.5 [adaptive],0.5,adaptive
