counterfactual,n_samples,counterfactual_fairness_ratio,n_predictions_changed,percent_predictions_changed,mean_absolute_probability_change,mean_signed_probability_change,max_absolute_probability_change,original_accuracy,counterfactual_accuracy,original_auc,counterfactual_auc
Sex flip,500,0.054,27,5.4,0.04517577961087227,0.005361617077142,0.1734500527381897,0.684,0.694,0.8027294117647059,0.8074352941176471
Age young→middle,500,0.026,13,2.6,0.024752357974648476,0.024752357974648476,0.44423243403434753,0.684,0.658,0.8027294117647059,0.792564705882353
