epoch,train_loss,val_auc,val_accuracy,val_recall,val_fnr,val_dp_diff,val_fnr_gap,val_worst_group_sensitivity,val_macro_avg_fnr
1,0.8535620190479137,0.8001270240694945,0.8508468667383283,0.1724596391263058,0.8275403608736942,0.00403076472103004,0.027734784172099514,0.15780998389694043,0.8283226240170098
2,0.7703012916776869,0.801394629694122,0.8516603236396386,0.16790123456790124,0.8320987654320988,0.0015315700681809569,0.023677751199912445,0.15539452495974235,0.8327665994403014
3,0.7538869460423787,0.8015728112597825,0.8515731675430697,0.13637226970560304,0.863627730294397,0.0022953474827065723,0.0234354236042712,0.12399355877616747,0.864288729421697
4,0.7449572033352322,0.8019305489271649,0.8518346358327765,0.15840455840455842,0.8415954415954416,0.00043947650231956903,0.02246611322170633,0.14653784219001612,0.8422291011991307
5,0.7414385014110141,0.8023273924712165,0.8524156764765696,0.14358974358974358,0.8564102564102565,0.0008344387595522057,0.017283429482669588,0.13446054750402575,0.8568977377546394
6,0.7387419727113512,0.8019323696988672,0.8520670520902938,0.13181386514719848,0.8681861348528015,0.0025901278077383252,0.007946000031268108,0.12761674718196458,0.8684102528024014
7,0.7359915340388262,0.8015262529221922,0.8516312716074489,0.16866096866096866,0.8313390313390313,0.0005778684109908686,0.02587824210871903,0.15499194847020933,0.8320689304754312
8,0.7337980791374489,0.8018716327937987,0.8524737805409488,0.13238366571699905,0.867616334283001,0.001840791526766472,0.02426793615058709,0.11956521739130435,0.8683008145334021
9,0.732149252626631,0.8018469465169973,0.8517184277040178,0.17701804368471036,0.8229819563152896,0.0016567013922392099,0.02188374529024595,0.16545893719806765,0.8235991901568094
10,0.7303232153256735,0.8016427627679743,0.851369803317742,0.1677113010446344,0.8322886989553656,0.0017076022698222296,0.028653283929771844,0.15257648953301128,0.8330968685021027
