group,n_samples,selection_rate,tpr,fpr,fnr,accuracy,auc,brier,method
female,12450,0.6107630522088353,0.8944756864042342,0.5197836002970192,0.10552431359576579,0.5808032128514056,0.7744058572057141,0.2552158568800086,ERM source-pooled
male,6284,0.5959579885423297,0.8748326639892905,0.5089770354906055,0.1251673360107095,0.5822724379376194,0.765561899651494,0.25216492085608766,ERM source-pooled
female,12450,0.5881927710843373,0.8607343698312934,0.5007955871433117,0.13926563016870658,0.586987951807229,0.7553253632970746,0.2691734957036005,IRM source-invariant
male,6284,0.5749522597071929,0.8453815261044176,0.4906054279749478,0.15461847389558234,0.5892743475493316,0.7524292018456569,0.26652178797740644,IRM source-invariant
female,12450,0.42923694779116467,0.7396625868342706,0.32969131218839504,0.2603374131657294,0.6871485943775101,0.7736283942551258,0.19463483401597192,Oracle target-trained
male,6284,0.41788669637173775,0.713520749665328,0.325678496868476,0.28647925033467203,0.6836409929980903,0.767250071964965,0.19283771859135596,Oracle target-trained
