method,threshold,accuracy,precision,recall,fnr,f1,auc,brier,dp_diff,di_ratio,tpr_gap,fpr_gap,fnr_gap,accuracy_gap,equalized_odds_diff,worst_group_sensitivity,macro_avg_fnr,group_auc_mean,group_brier_mean
ERM source-pooled,0.5,0.5812960392868581,0.3534232090933122,0.8879787469559443,0.11202125304405575,0.5056094793898903,0.7714561056837027,0.25419247255341954,0.01480506366650558,0.975759726111521,0.019643022414943756,0.010806564806413732,0.019643022414943714,0.0014692250862138323,0.019643022414943756,0.8748326639892905,0.11534582480323766,0.769983878428604,0.2536903888680481
IRM source-invariant,0.5,0.5877548841678232,0.35341989758595466,0.8556564091210981,0.14434359087890192,0.5002264932375591,0.7543709384268061,0.26828402568377546,0.013240511377144437,0.9774895033940396,0.015352843726875731,0.01019015916836391,0.015352843726875759,0.0022863957421026537,0.015352843726875731,0.8453815261044176,0.14694205203214444,0.7538772825713658,0.26784764184050347
Oracle target-trained,0.5,0.6859720294651436,0.4143036386449184,0.7310161611689174,0.26898383883108257,0.5288700248258188,0.7714833643159884,0.19403202237252756,0.011350251419426916,0.97355714255766,0.026141837168942583,0.004012815319919039,0.02614183716894264,0.0035076013794197447,0.026141837168942583,0.713520749665328,0.27340833175020074,0.7704392331100454,0.19373627630366394
