model,feature_set,method_type,eval_protocol,auc,f1,recall,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,attack_auc,attack_advantage,primary_screening_score
DP-LR (ε=5.0),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.8011435903246393,0.2451798045018384,0.1558012309095053,0.8441987690904946,0.004491616324864,0.038043204790206,0.1360511969661057,,,,
DP-LR (ε=inf),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.8012504452385806,0.4412768520377434,0.7515386368816959,0.2484613631183041,0.0340690481241254,0.0332110058803036,0.7342972268310026,,,,
MLP non-private,Without Sensitive Attributes + Proxy-Reduced Features,Standard,Holdout,0.804469583206967,0.443170651817884,0.7710280373831776,0.2289719626168224,0.0389314385767203,0.025552535456532,0.7577625029627874,0.2294612293089465,,,0.5283012736538408
DP-SGD MLP (ε=0.5) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.7996706811763881,0.45737460685317,0.6298153635741965,0.3701846364258034,0.0289683981379905,0.0329596730487687,0.612704432329936,0.3708157311456797,,,0.24188870118425632
DP-SGD MLP (ε=0.5) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8007731279029632,0.4575574365175333,0.6469113289263734,0.3530886710736266,0.0235242461179752,0.0485411638167102,0.6217113059966817,0.3540181120949632,,,0.2676931939017185
DP-SGD MLP (ε=1.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8003214184553588,0.4554315815670496,0.625712331889674,0.374287668110326,0.022493850848468,0.046971244245818,0.6013273287508888,0.3751870491262021,,,0.2261402796246867
DP-SGD MLP (ε=1.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.800374379184325,0.4573257775662932,0.6024618190107135,0.3975381809892865,0.0272467022083154,0.0268396405472187,0.5885280872244608,0.3980520925019298,,,0.19047599472253102
DP-SGD MLP (ε=3.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.803654337206011,0.4594649289674991,0.6469113289263734,0.3530886710736266,0.0291485557723186,0.0389533626693732,0.6266887888125148,0.3538345298527985,,,0.27285425895971627
DP-SGD MLP (ε=3.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8027995096213164,0.4580068075674819,0.6594483701846364,0.3405516298153636,0.0320779783864038,0.0315998739693337,0.6430433752073951,0.341156687807938,,,0.30188668739945707
DP-SGD MLP (ε=5.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8030707313625481,0.4551847972467455,0.5200592660132208,0.4799407339867791,0.0178197198592195,0.030192462148521,0.5043849253377578,0.4805188435879817,,,0.023866081749776114
