model,feature_set,method_type,eval_protocol,auc,f1,recall,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,comparison_group,is_directly_comparable,attack_auc,attack_advantage,primary_screening_score,protocol_rank
DP-LR (ε=0.1),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.7101562558450939,0.3753720554468917,0.5030772737633918,0.4969227262366081,0.0088379391104509,0.0111780146735704,0.4972742356008532,0.4971367570623615,holdout_raw,True,,,0.00013747853849171987,17.0
DP-LR (ε=0.5),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.7973345785198684,0.4517667461521786,0.5937998632322772,0.4062001367677228,0.0174991379107152,0.028417157342418,0.5790471675752548,0.4067442537535362,holdout_raw,True,,,0.17230291382171858,15.0
DP-LR (ε=1.0),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.8002835091181884,0.4531972187613038,0.6425803510371553,0.3574196489628447,0.0222921400584203,0.0283280720820479,0.6278739037686656,0.3579620601903104,holdout_raw,True,,,0.2699118435783552,6.0
DP-LR (ε=5.0),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.8010378987126587,0.4538216560509554,0.6496466833827217,0.3503533166172783,0.0223745585279009,0.0373738685144226,0.6302441336809671,0.3510689320618216,holdout_raw,True,,,0.2791752016191455,4.0
DP-LR (ε=inf),Without Sensitive Attributes + Proxy-Reduced Features,Differential Privacy,Holdout,0.8009901329712774,0.4566391565484163,0.6022338728060178,0.3977661271939822,0.0190152623976641,0.0359883637582219,0.5835506044086276,0.3984552137122613,holdout_raw,True,,,0.18509539069636632,14.0
MLP non-private,Without Sensitive Attributes + Proxy-Reduced Features,Standard,Holdout,0.804469583206967,0.443170651817884,0.7710280373831776,0.2289719626168224,0.0389314385767203,0.025552535456532,0.7577625029627874,0.2294612293089465,holdout_raw,True,,,0.5283012736538408,2.0
DP-SGD MLP (ε=0.5) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.7996706811763881,0.45737460685317,0.6298153635741965,0.3701846364258034,0.0289683981379905,0.0329596730487687,0.612704432329936,0.3708157311456797,holdout_raw,True,,,0.24188870118425632,9.0
DP-SGD MLP (ε=0.5) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8007731279029632,0.4575574365175333,0.6469113289263734,0.3530886710736266,0.0235242461179752,0.0485411638167102,0.6217113059966817,0.3540181120949632,holdout_raw,True,,,0.2676931939017185,7.0
DP-SGD MLP (ε=1.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8003214184553588,0.4554315815670496,0.625712331889674,0.374287668110326,0.022493850848468,0.046971244245818,0.6013273287508888,0.3751870491262021,holdout_raw,True,,,0.2261402796246867,11.0
DP-SGD MLP (ε=1.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.800374379184325,0.4573257775662932,0.6024618190107135,0.3975381809892865,0.0272467022083154,0.0268396405472187,0.5885280872244608,0.3980520925019298,holdout_raw,True,,,0.19047599472253102,13.0
DP-SGD MLP (ε=3.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.803654337206011,0.4594649289674991,0.6469113289263734,0.3530886710736266,0.0291485557723186,0.0389533626693732,0.6266887888125148,0.3538345298527985,holdout_raw,True,,,0.27285425895971627,5.0
DP-SGD MLP (ε=3.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8027995096213164,0.4580068075674819,0.6594483701846364,0.3405516298153636,0.0320779783864038,0.0315998739693337,0.6430433752073951,0.341156687807938,holdout_raw,True,,,0.30188668739945707,3.0
DP-SGD MLP (ε=5.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8030707313625481,0.4551847972467455,0.5200592660132208,0.4799407339867791,0.0178197198592195,0.030192462148521,0.5043849253377578,0.4805188435879817,holdout_raw,True,,,0.023866081749776114,16.0
DP-SGD MLP (ε=5.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8010046590008977,0.4567219152854512,0.6077045817187143,0.3922954182812856,0.0298794973925262,0.0287203178137477,0.5927945010666035,0.3928453400265226,holdout_raw,True,,,0.19994916104008087,12.0
DP-SGD MLP (ε=10.0) [fixed],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8026939481771962,0.4573212765094684,0.6426943241395031,0.3573056758604969,0.0262074477568721,0.0440707176697127,0.6198151220668405,0.3581495190983031,holdout_raw,True,,,0.2616656029685374,8.0
DP-SGD MLP (ε=10.0) [adaptive],Without Sensitive Attributes + Proxy-Reduced Features,DP-SGD Deep Learning,Holdout,0.8023826910237393,0.4569105016389361,0.6275359015272396,0.3724640984727604,0.0310099519128924,0.0372435709139747,0.6082009954965631,0.3731772190464495,holdout_raw,True,,,0.23502377645011363,10.0
VFAE,Without Sensitive Attributes + Proxy-Reduced Features,Fair Deep Representation,Holdout,0.8044625752508023,0.4349518161601186,0.8024846136311831,0.1975153863688169,0.0422913775333362,0.0231397402737966,0.790471675752548,0.1979584541105536,holdout_raw,True,,,0.5925132216419944,1.0
ERM source-pooled,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source->Target Holdout,0.7714561056837027,0.5056094793898903,0.8879787469559443,0.1120212530440557,0.0148050636665055,0.0196430224149437,0.8748326639892905,0.1153458248032376,transfer_target,True,,,0.7594868391860529,1.0
IRM source-invariant,Without Sensitive Attributes + Proxy-Reduced Features,Invariant Learning,Source->Target Holdout,0.7543709384268061,0.5002264932375591,0.8556564091210981,0.1443435908789019,0.0132405113771444,0.0153528437268757,0.8453815261044176,0.1469420520321444,transfer_target,True,,,0.6984394740722732,2.0
Oracle target-trained,Without Sensitive Attributes + Proxy-Reduced Features,Transfer/Oracle,Source->Target Holdout,0.7714833643159884,0.5288700248258188,0.7310161611689174,0.2689838388310825,0.0113502514194269,0.0261418371689426,0.713520749665328,0.2734083317502007,transfer_target,True,,,0.4401124179151273,3.0
Oracle (train on target),Without Sensitive Attributes,Transfer/Oracle,Holdout,0.7724878679591397,0.3612549497410904,0.262621789193977,0.737378210806023,0.0222067602657348,0.0444090683547416,0.2327469553450609,0.7450485104775684,holdout_transfer,True,,,-0.5123015551325074,1.0
Naive transfer,Without Sensitive Attributes,Transfer Learning,Holdout,0.7686686844268938,0.3386944181646168,0.2378210806023029,0.7621789193976971,0.0167832369535764,0.0357038183905977,0.2138024357239512,0.7683456550807498,holdout_transfer,True,,,-0.5545432193567986,2.0
IPS-weighted transfer,Without Sensitive Attributes,Transfer Learning,Holdout,0.7686686844268938,0.3386944181646168,0.2378210806023029,0.7621789193976971,0.0167832369535764,0.0357038183905977,0.2138024357239512,0.7683456550807498,holdout_transfer,True,,,-0.5545432193567986,2.0
