epsilon,epsilon_numeric,is_private,threshold,accuracy,precision,recall,f1,fnr,auc,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,val_dp_diff
0.1,0.1,True,0.22,0.7439383639247678,0.29937601736299513,0.5030772737633918,0.37537205544689173,0.49692272623660816,0.7101562558450939,0.008837939110450943,0.011178014673570436,0.49727423560085326,0.4971367570623615,0.012778124461074236
0.5,0.5,True,0.22,0.7795847931809863,0.3645651109089637,0.5937998632322772,0.4517667461521786,0.4062001367677228,0.7973345785198684,0.01749913791071525,0.028417157342418065,0.5790471675752548,0.4067442537535362,0.022952095232082692
1.0,1.0,True,0.2,0.7628510170998274,0.35003414664431615,0.6425803510371553,0.4531972187613038,0.3574196489628447,0.8002835091181884,0.02229214005842034,0.028328072082047906,0.6278739037686656,0.35796206019031046,0.024798137456172653
5.0,5.0,True,0.2,0.7608464501734387,0.3487091643215466,0.6496466833827217,0.4538216560509554,0.3503533166172783,0.8010378987126587,0.02237455852790099,0.03737386851442265,0.6302441336809671,0.35106893206182166,0.02370604389031128
infinity,999.0,False,0.22,0.7808049643535707,0.36773609854547984,0.6022338728060178,0.45663915654841636,0.3977661271939822,0.8009901329712774,0.0190152623976641,0.03598836375822195,0.5835506044086276,0.39845521371226134,0.022987419040939344
