model,feature_set,accuracy,precision,recall,f1,auc,brier,error_rate,fnr,sex_group_dp_diff,sex_group_di_ratio,sex_group_tpr_gap,sex_group_fpr_gap,sex_group_fnr_gap,sex_group_accuracy_gap,sex_group_equalized_odds_diff,sex_group_worst_group_sensitivity,sex_group_macro_avg_fnr,sex_group_group_auc_mean,sex_group_group_brier_mean,age_group_dp_diff,age_group_di_ratio,age_group_tpr_gap,age_group_fpr_gap,age_group_fnr_gap,age_group_accuracy_gap,age_group_equalized_odds_diff,age_group_worst_group_sensitivity,age_group_macro_avg_fnr,age_group_group_auc_mean,age_group_group_brier_mean,income_group_dp_diff,income_group_di_ratio,income_group_tpr_gap,income_group_fpr_gap,income_group_fnr_gap,income_group_accuracy_gap,income_group_equalized_odds_diff,income_group_worst_group_sensitivity,income_group_macro_avg_fnr,income_group_group_auc_mean,income_group_group_brier_mean,education_group_dp_diff,education_group_di_ratio,education_group_tpr_gap,education_group_fpr_gap,education_group_fnr_gap,education_group_accuracy_gap,education_group_equalized_odds_diff,education_group_worst_group_sensitivity,education_group_macro_avg_fnr,education_group_group_auc_mean,education_group_group_brier_mean,intersection_group_dp_diff,intersection_group_di_ratio,intersection_group_tpr_gap,intersection_group_fpr_gap,intersection_group_fnr_gap,intersection_group_accuracy_gap,intersection_group_equalized_odds_diff,intersection_group_worst_group_sensitivity,intersection_group_macro_avg_fnr,intersection_group_group_auc_mean,intersection_group_group_brier_mean
Fairlearn-DP,Without Sensitive Attributes,0.738560671879525,0.7379589557447996,0.752991452991453,0.7453994218430515,0.7383184591223461,0.26143932812047493,0.261439328120475,0.24700854700854702,0.01235157814327048,0.9764381920735334,0.05754006929871003,0.003330628254547885,0.05754006929871,0.030062691878450787,0.05754006929871003,0.7225083308088458,0.24872163454179919,0.7373589365669309,0.2628083864169958,0.39065022200296007,0.3739579775593589,0.1470021696848739,0.24977600357291532,0.147002169684874,0.10442565787401992,0.24977600357291532,0.6262135922330098,0.28489425466985435,0.7259434356497496,0.24410023282131918,0.42944161737195946,0.4460043194889667,0.27752394002572656,0.38236680278631296,0.2775239400257266,0.010454571913996014,0.38236680278631296,0.6120331950207469,0.23769355053135086,0.7047878066427904,0.26170384696937976,0.4364208112498103,0.4570985097167308,0.28018446031414024,0.3845855625339226,0.2801844603141403,0.03790307702764373,0.3845855625339226,0.6422645192776965,0.21435773764583058,0.7138880859976626,0.2502738622400129,0.4172687962253814,0.3384712023787894,0.20352375867592098,0.2557726590619323,0.203523758675921,0.12570479587869998,0.2557726590619323,0.6,0.2875367068382306,0.7243927939527454,0.24503136292881922
Fairlearn-DP,Without Sensitive Attributes,0.7383434694468578,0.7400620242458416,0.7478632478632479,0.743942185064475,0.7381836851801516,0.2616565305531422,0.2616565305531422,0.25213675213675213,0.01087098737258474,0.9790750930500202,0.04266149717458245,0.033014738099822305,0.042661497174582425,0.03722957553628481,0.04266149717458245,0.7253839205058717,0.253285330906837,0.7365959133313558,0.2632899741366195,0.4063964173464142,0.3488762188835564,0.1502859854314148,0.28693847002715117,0.1502859854314148,0.12878647845743696,0.28693847002715117,0.6134259259259259,0.29156967993848576,0.7252114577606273,0.24192157124464556,0.4122011763425765,0.457789161681403,0.2760353991118518,0.3320465653603484,0.2760353991118518,0.029824071996458423,0.3320465653603484,0.6116740980948521,0.24058428353019676,0.7090994999731733,0.2592360260857374,0.43868671152512,0.45835620311694364,0.2631767133244238,0.4204266832004059,0.2631767133244238,0.011045409551013519,0.4204266832004059,0.637616937469227,0.224864474238178,0.7016707635240116,0.25842247507259825,0.41131444601026346,0.3423969647373903,0.19556920556920554,0.31922147001934237,0.19556920556920554,0.15166407666407666,0.31922147001934237,0.5984848484848485,0.29081370222973346,0.7244613092758617,0.243164509638257
Fairlearn-DP,Without Sensitive Attributes,0.7409311418434581,0.7389915266009168,0.7579427268841715,0.7483471655647771,0.740646864031014,0.2590688581565419,0.2590688581565419,0.24205727311582848,0.008757603821788695,0.9833267842002729,0.07434296915142635,0.013585309513213406,0.07434296915142635,0.04298905920210072,0.07434296915142635,0.7192513368983957,0.2435771785258911,0.7394308673670585,0.26093490268566066,0.40737904602244945,0.35502956720195417,0.18732832702977587,0.2742863720073665,0.18732832702977595,0.10401496576796465,0.2742863720073665,0.5895196506550219,0.29084788732758704,0.7228299327762387,0.2432890915019333,0.41281043224655195,0.4633662181672758,0.2823829893876363,0.33231865087820767,0.2823829893876363,0.029442411640612898,0.33231865087820767,0.6172287687931735,0.23074462772978535,0.7132730726419458,0.2556915599032157,0.46349568335659463,0.4434605735160592,0.24233328655421515,0.48835465813674533,0.24233328655421527,0.01165152624721788,0.48835465813674533,0.6456335184250379,0.2228697970001818,0.689532080299787,0.256362125372864,0.42749414914124056,0.3307298806237235,0.2821561479938527,0.2927991520420597,0.28215614799385264,0.13765208058530032,0.2927991520420597,0.5348837209302325,0.2928270750957812,0.7212951675575662,0.2449196985441613
Fairlearn-DP,Without Sensitive Attributes,0.7402794873651437,0.7406732117812062,0.7523863798261861,0.746483850448795,0.7400771710673922,0.2597205126348563,0.2597205126348563,0.24761362017381394,0.019608409658019466,0.9627871755208826,0.04841199219546766,0.03207209859552107,0.0484119921954676,0.038840793334294244,0.04841199219546766,0.7274596182085169,0.2483343856937493,0.7385221120788222,0.2614374270024319,0.42065700520655536,0.3408168524245148,0.1603794099124256,0.3053659029990391,0.16037940991242555,0.1288887961705647,0.3053659029990391,0.6108695652173913,0.28894899229805704,0.724689289016237,0.2408882725999316,0.3990846133078785,0.4717139321643637,0.2653186361564712,0.3304682551428149,0.26531863615647133,0.019807324506560975,0.3304682551428149,0.6208283071974267,0.2361252620631028,0.7130794915298887,0.2581084203412268,0.41937338495236487,0.47414509152457374,0.2531789198455865,0.36000540311064794,0.2531789198455865,0.03490195432043819,0.36000540311064794,0.6429249762583096,0.22214629215436088,0.7121232282305092,0.24903424370187413,0.42676897723761464,0.33223207091055595,0.19171925995325811,0.33226349976193936,0.19171925995325803,0.15349418065712217,0.33226349976193936,0.6067961165048543,0.28950003851161826,0.7229634140386786,0.24240407721925383
Fairlearn-DP,Without Sensitive Attributes,0.7315183549344725,0.7280617164898746,0.752956261575723,0.7402997618714106,0.7311601095864481,0.26848164506552746,0.2684816450655275,0.24704373842427696,0.005137696237552003,0.9902763887437261,0.04406455538257059,0.019395638555266437,0.044064555382570564,0.030249216772377685,0.04406455538257059,0.7299791604644239,0.24798856184429074,0.7301008598724501,0.26971145718758166,0.41036316423011643,0.3584263799151762,0.13126834975460078,0.31022699985548413,0.13126834975460078,0.1357154575100742,0.31022699985548413,0.6351351351351351,0.28149953189614335,0.7208522846860602,0.24762464888568658,0.4115405377421745,0.46511311909776476,0.26403621833828805,0.35735039317606293,0.264036218338288,0.03394360424568621,0.35735039317606293,0.6254604993860008,0.2365232371883702,0.7006107187710566,0.2674549491144896,0.4308184721630726,0.46638975202258026,0.25322491592631635,0.37763022254563094,0.2532249159263163,0.04854990655112024,0.37763022254563094,0.6394953905870936,0.2242695955375016,0.7022029251713299,0.25389938040952753,0.42263459335624287,0.341918453251525,0.18276955602537004,0.3225960147056779,0.18276955602537,0.14957814316558715,0.3225960147056779,0.6,0.2835697382673276,0.7190644696013423,0.24874018160061787
