model,feature_set,accuracy,precision,recall,f1,auc,brier,error_rate,fnr,sex_group_dp_diff,sex_group_di_ratio,sex_group_tpr_gap,sex_group_fpr_gap,sex_group_fnr_gap,sex_group_accuracy_gap,sex_group_equalized_odds_diff,sex_group_worst_group_sensitivity,sex_group_macro_avg_fnr,sex_group_group_auc_mean,sex_group_group_brier_mean,age_group_dp_diff,age_group_di_ratio,age_group_tpr_gap,age_group_fpr_gap,age_group_fnr_gap,age_group_accuracy_gap,age_group_equalized_odds_diff,age_group_worst_group_sensitivity,age_group_macro_avg_fnr,age_group_group_auc_mean,age_group_group_brier_mean,income_group_dp_diff,income_group_di_ratio,income_group_tpr_gap,income_group_fpr_gap,income_group_fnr_gap,income_group_accuracy_gap,income_group_equalized_odds_diff,income_group_worst_group_sensitivity,income_group_macro_avg_fnr,income_group_group_auc_mean,income_group_group_brier_mean,education_group_dp_diff,education_group_di_ratio,education_group_tpr_gap,education_group_fpr_gap,education_group_fnr_gap,education_group_accuracy_gap,education_group_equalized_odds_diff,education_group_worst_group_sensitivity,education_group_macro_avg_fnr,education_group_group_auc_mean,education_group_group_brier_mean,intersection_group_dp_diff,intersection_group_di_ratio,intersection_group_tpr_gap,intersection_group_fpr_gap,intersection_group_fnr_gap,intersection_group_accuracy_gap,intersection_group_equalized_odds_diff,intersection_group_worst_group_sensitivity,intersection_group_macro_avg_fnr,intersection_group_group_auc_mean,intersection_group_group_brier_mean
MLP,Original Features,0.7279901534897191,0.7828046455191541,0.6433048433048433,0.7062319180545782,0.8219507657743819,0.17065982320285084,0.27200984651028093,0.3566951566951567,0.06022181653690034,0.8663322693061798,0.04428848510302552,0.046639362277676344,0.04428848510302552,0.0057220095187463516,0.046639362277676344,0.6224791610648024,0.35537659638368485,0.8211161391880534,0.17108335580921366,0.4286594799987404,0.209301587129482,0.310031515274742,0.25622351673012084,0.310031515274742,0.14422706231827764,0.310031515274742,0.38106796116504854,0.4354943720907669,0.8103149283018389,0.1584961448872765,0.3775668052130463,0.41189566203184297,0.2862414896923471,0.2544632595647066,0.28624148969234714,0.01708029257088428,0.2862414896923471,0.4983402489626556,0.3470207302451507,0.8020698363831643,0.1710696356163471,0.42248894184562985,0.4094942202775367,0.3137737671935539,0.31046277906012726,0.3137737671935539,0.04268870138234837,0.3137737671935539,0.5392874572962421,0.31004091761032476,0.811164510265884,0.16820833159215087,0.5135740582849042,0.15010865980830462,0.4079157175398633,0.3269386995227296,0.4079157175398634,0.15656812705795542,0.4079157175398633,0.325,0.4384479825693332,0.8089354286428693,0.1587089952926928
MLP,Original Features,0.7295105705183899,0.7855652173913044,0.6434472934472935,0.7074393108848864,0.8256270574733472,0.1689840310474837,0.27048942948161014,0.35655270655270654,0.034228409148536976,0.9212996431986193,0.0006351969440213656,0.036594741739250536,0.0006351969440213656,0.023615548455804047,0.036594741739250536,0.643146796431468,0.3565356050965214,0.8237039996395719,0.1695551592432119,0.44598491835079745,0.17716204100117527,0.34363650353955066,0.2733126102846779,0.34363650353955066,0.14665519178684816,0.34363650353955066,0.3472222222222222,0.44432448364715277,0.8105599003502956,0.1572627478592012,0.38445800117419027,0.4028914415943581,0.29840713054781215,0.24585058799135046,0.2984071305478122,0.026600847801961258,0.29840713054781215,0.49209566274827726,0.3446954356314893,0.8061709312438702,0.1691192856045366,0.47018360982575247,0.37709251690967827,0.34516775691074064,0.37974992719518263,0.34516775691074064,0.03248501878638865,0.37974992719518263,0.5238798621368784,0.3081206475004599,0.7992087747632753,0.167895433835659,0.49392156862745096,0.14677656091227279,0.3638257575757576,0.328113475177305,0.3638257575757575,0.1758823529411765,0.3638257575757576,0.3333333333333333,0.4454212682889683,0.8072471137777044,0.15759343252590666
MLP,Original Features,0.7286945188617768,0.7862141357592722,0.640262145604787,0.705771495877503,0.8246519605794871,0.16963937546634944,0.27130548113822317,0.359737854395213,0.01404163795655422,0.9666867686403194,0.04002838972485201,0.02641405471846059,0.0400283897248519,0.041773863412339685,0.04002838972485201,0.6194295900178253,0.3605562151197487,0.8221160798575825,0.1703959239965166,0.4420947873327615,0.1722510979254405,0.38237196470007856,0.25806459684522376,0.3823719647000785,0.12754492538497342,0.38237196470007856,0.30131004366812225,0.4582956600739138,0.8112515597874137,0.1592654749071257,0.3870002974386579,0.402088948205536,0.3017105672675659,0.25629356792791697,0.30171056726756584,0.024288011710592472,0.3017105672675659,0.49085737505079235,0.3475091652326667,0.8055424820311835,0.16937497960775724,0.4560102219528547,0.38628624295511643,0.2779119477358557,0.398807143809143,0.2779119477358558,0.031001100789705416,0.398807143809143,0.5436648157496214,0.32123800600439384,0.7894181730528841,0.16696932258824373,0.4947925255832666,0.1273182788356019,0.44820850215284563,0.32239010594944567,0.44820850215284574,0.15902078537076936,0.44820850215284563,0.2372093023255814,0.46031286874936866,0.8073563872673332,0.160029570280494
MLP,Original Features,0.7251466222576207,0.7805047867711054,0.6388374412309445,0.7026010654967095,0.8221101575045087,0.17015768947613555,0.2748533777423793,0.36116255876905545,0.04479333683059411,0.898277757810754,0.0035600662133796757,0.040019047990649814,0.0035600662133796757,0.03175875579806242,0.040019047990649814,0.6370044052863436,0.36121556160696655,0.8194169723246061,0.17074209195725454,0.4688876551030059,0.1522673330400734,0.3971725465499008,0.2903406039500714,0.39717254654990086,0.13913469780990895,0.3971725465499008,0.29782608695652174,0.46170210467327144,0.8107221039787008,0.15795871567113903,0.37284314647151273,0.4138568948059311,0.28734117354156363,0.2540627497410093,0.28734117354156363,0.019113539015457204,0.28734117354156363,0.49336550060313633,0.34916643526351376,0.8021057269439004,0.17070802239031638,0.4317625774519821,0.40001823652776514,0.284357617690951,0.3746130986839566,0.284357617690951,0.013118013652951843,0.3746130986839566,0.5251661918328585,0.3279212169762267,0.7897024248614807,0.16990089587514354,0.527371676926455,0.11939192678947234,0.4599247613884645,0.3478982736663567,0.4599247613884645,0.14883741888968993,0.4599247613884645,0.2524271844660194,0.46308457055351643,0.8074120969126236,0.15845040546074937
MLP,Original Features,0.7197161682716675,0.7741205154998259,0.6332810941729591,0.6966538672517828,0.8171311177753938,0.17320110634775468,0.2802838317283325,0.3667189058270409,0.020830430692018398,0.951218806825336,0.017808042010941993,0.02569110327048954,0.017808042010941993,0.028536911717990443,0.02569110327048954,0.6239952366775826,0.3671007423169464,0.8155464045381635,0.17363945846826168,0.443883223076945,0.17769934995399905,0.33169181978057555,0.28515514028757016,0.33169181978057555,0.1578693181933828,0.33169181978057555,0.34459459459459457,0.4520334610578615,0.8082226809388152,0.15994832476340368,0.4029246403006065,0.3841675795515827,0.31005861430550913,0.2931844653442971,0.3100586143055091,0.03207871250507499,0.31005861430550913,0.4793286942284077,0.35499374386331056,0.7943482283102702,0.17407804246506456,0.43005809980476306,0.3951772540594368,0.30134350583078184,0.3081529319022497,0.30134350583078184,0.037142732825882874,0.3081529319022497,0.5109170305676856,0.33326484763040093,0.8045556847972728,0.16480509403180424,0.5063841160748377,0.13246376053168665,0.4212210762729395,0.32979269551630813,0.42122107627293953,0.159737659027,0.4212210762729395,0.2789473684210526,0.4552438109450539,0.8047573502533417,0.16034434081704643
