model,feature_set,accuracy,precision,recall,f1,auc,brier,error_rate,fnr,sex_group_dp_diff,sex_group_di_ratio,sex_group_tpr_gap,sex_group_fpr_gap,sex_group_fnr_gap,sex_group_accuracy_gap,sex_group_equalized_odds_diff,sex_group_worst_group_sensitivity,sex_group_macro_avg_fnr,sex_group_group_auc_mean,sex_group_group_brier_mean,age_group_dp_diff,age_group_di_ratio,age_group_tpr_gap,age_group_fpr_gap,age_group_fnr_gap,age_group_accuracy_gap,age_group_equalized_odds_diff,age_group_worst_group_sensitivity,age_group_macro_avg_fnr,age_group_group_auc_mean,age_group_group_brier_mean,income_group_dp_diff,income_group_di_ratio,income_group_tpr_gap,income_group_fpr_gap,income_group_fnr_gap,income_group_accuracy_gap,income_group_equalized_odds_diff,income_group_worst_group_sensitivity,income_group_macro_avg_fnr,income_group_group_auc_mean,income_group_group_brier_mean,education_group_dp_diff,education_group_di_ratio,education_group_tpr_gap,education_group_fpr_gap,education_group_fnr_gap,education_group_accuracy_gap,education_group_equalized_odds_diff,education_group_worst_group_sensitivity,education_group_macro_avg_fnr,education_group_group_auc_mean,education_group_group_brier_mean,intersection_group_dp_diff,intersection_group_di_ratio,intersection_group_tpr_gap,intersection_group_fpr_gap,intersection_group_fnr_gap,intersection_group_accuracy_gap,intersection_group_equalized_odds_diff,intersection_group_worst_group_sensitivity,intersection_group_macro_avg_fnr,intersection_group_group_auc_mean,intersection_group_group_brier_mean
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,0.7101427170715764,0.31199138343705124,0.7428408605214418,0.43942522439003834,0.7235399898861967,0.28985728292842355,0.2898572829284236,0.2571591394785582,0.01852516056650716,0.9505389276341087,0.03971743361318536,0.0178737422231256,0.03971743361318536,0.020412861244004654,0.03971743361318536,0.7219041880084363,0.25823709518497107,0.7223943548958514,0.29111576840374576,0.33970791005266754,0.3030210498511256,0.1781247508570517,0.2854675414615361,0.17812475085705173,0.23557575574561085,0.2854675414615361,0.5765765765765766,0.30514235462811806,0.7074577387217956,0.26954202751333806,0.2748168962129437,0.49689322284149495,0.18522924413593012,0.22726775047638134,0.1852292441359302,0.14280024933190372,0.22726775047638134,0.6530778638401957,0.24984192945821473,0.7064861006384934,0.312666126935239,0.329387754992278,0.45253037185959294,0.16917871868205236,0.2703150683781492,0.16917871868205234,0.15226350396507493,0.2703150683781492,0.6684596577017115,0.24139350384123673,0.7037990706790381,0.3138942384239729,0.3509909658923031,0.28838381749023667,0.21127434425306768,0.2971076255718972,0.21127434425306765,0.24743909902171868,0.2971076255718972,0.5691489361702128,0.3061444364942422,0.7062268752979367,0.270838374055936
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,0.7102952391328031,0.312256983908596,0.7436956831457473,0.4398382204246714,0.7239802626038438,0.2897047608671969,0.2897047608671969,0.2563043168542527,0.019310511635116434,0.948520695300884,0.04499830815080885,0.017471217183198662,0.04499830815080885,0.02070199778263182,0.04499830815080885,0.7202380952380952,0.25726275068650034,0.7228871532432235,0.29100452787037046,0.33508401639546603,0.31342171857035844,0.16209113303336942,0.2817621710952185,0.16209113303336944,0.23130253801893708,0.2817621710952185,0.6008676789587852,0.2978167300711097,0.7110560364794482,0.2696669711260969,0.2937555657152732,0.47304901286052625,0.22375608927415402,0.24686898869329305,0.2237560892741539,0.1543063285106605,0.24686898869329305,0.63290113452188,0.24672055679902982,0.7062786488605659,0.3145342630737628,0.320764672388044,0.4597303786865328,0.19731674136747246,0.2726927491869141,0.19731674136747254,0.16271101630065854,0.2726927491869141,0.6573088092933205,0.23731120149928478,0.7048926965718767,0.3188086610121305,0.3608791669387909,0.2866270703981282,0.1967702752171453,0.30746778116148626,0.19677027521714532,0.25282067554421994,0.30746778116148626,0.592964824120603,0.29871755852662357,0.7097114434143634,0.2711174167429446
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,0.7143479681882559,0.3143745427944404,0.7346153846153847,0.44031762295081966,0.7226517437546378,0.2856520318117442,0.28565203181174414,0.26538461538461533,0.021409377530811402,0.9420301243201964,0.04298170252435696,0.019970100469256402,0.04298170252435704,0.022904626249964255,0.04298170252435696,0.712481644640235,0.2660275040975865,0.7217021723152252,0.28692489921016523,0.34022384403867445,0.30253902963689855,0.140055025970666,0.28684024523973417,0.1400550259706661,0.23865628067032318,0.28684024523973417,0.6123853211009175,0.30161888408982934,0.7119951119532465,0.26537551935263043,0.28611248714995885,0.4787430039192459,0.17360445959924908,0.24420778573157711,0.17360445959924906,0.16002222730214866,0.24420778573157711,0.6519769357495881,0.2582582543144038,0.7037889968869316,0.3114477812338448,0.3426278982410987,0.4397399367650183,0.19209196039055465,0.29653576193386033,0.1920919603905547,0.1770745430406484,0.29653576193386033,0.6650508967523024,0.23975050569771691,0.7028003952301439,0.31865170402126225,0.36088399930371895,0.27913471289721276,0.16604947415197757,0.3067974419439069,0.16604947415197746,0.25396693108564805,0.3067974419439069,0.6046511627906976,0.30136232705010646,0.7113501420592364,0.26665105230407765
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,0.711602571086175,0.31438127090301005,0.7498575498575498,0.4430230600908938,0.7272760418098038,0.288397428913825,0.288397428913825,0.2501424501424502,0.028103864422611924,0.9261824896159729,0.02643827113421382,0.024911653325784933,0.026438271134213848,0.024008102647413376,0.02643827113421382,0.735956743766897,0.25082412066599613,0.7260324594966432,0.28996597223637144,0.33569682583552385,0.3143971755349871,0.12089066679823879,0.2826570015491819,0.12089066679823873,0.23442223765614079,0.2826570015491819,0.6397228637413395,0.28231293669291846,0.7189614707919155,0.26809823862037646,0.27688149004132406,0.4960089696934549,0.18568404221584034,0.23129086686414435,0.1856840422158403,0.1461782161351759,0.23129086686414435,0.6612772837510105,0.24201500533771092,0.7101716498254609,0.312019828208639,0.3327403749341812,0.45443756347425346,0.19438942018867,0.27861582549879094,0.19438942018867006,0.15824385983718192,0.27861582549879094,0.6733791748526523,0.22739190743447016,0.7086955263019729,0.31648798667948147,0.3699081028045147,0.2814911567236593,0.1653792293445363,0.3161923217462913,0.1653792293445363,0.25977291760685595,0.3161923217462913,0.6063829787234043,0.28403889116703745,0.7168971988387352,0.26983005183456626
Fairlearn-DP,Without Sensitive Attributes + Proxy-Reduced Features,0.7134265917113348,0.3164761505775331,0.7533836728878758,0.4457181389076197,0.7297979457686967,0.2865734082886652,0.2865734082886652,0.24661632711212422,0.02891167898456881,0.9239658925924542,0.04429779158040037,0.03056220177032809,0.04429779158040026,0.03163805981997081,0.04429779158040037,0.7301587301587301,0.2476923740510697,0.7282585434052058,0.28844712264327976,0.3388107400193125,0.3084411535746844,0.2016826471141192,0.28142124805223323,0.20168264711411918,0.22905614579107247,0.28142124805223323,0.5648148148148148,0.3011815171500279,0.7101544777238077,0.2671806406001144,0.28207730425444144,0.48808192931601363,0.17737895390125036,0.23920863884140176,0.1773789539012504,0.15468963066356578,0.23920863884140176,0.661758691206544,0.24026782761794507,0.7109873658941527,0.3116876042304008,0.32262773722627736,0.46228710462287104,0.18320826844117222,0.270368028520376,0.18320826844117233,0.157530069352269,0.270368028520376,0.6739345887016849,0.22902079399835165,0.709143038576593,0.315893106395261,0.36446814907815606,0.27730252714541226,0.2518057949601905,0.3084262796522001,0.2518057949601904,0.252972458555201,0.3084262796522001,0.5376344086021505,0.3029964791812121,0.7081524818874235,0.2690399446551089
