model,feature_set,accuracy,precision,recall,f1,auc,brier,error_rate,fnr,sex_group_dp_diff,sex_group_di_ratio,sex_group_tpr_gap,sex_group_fpr_gap,sex_group_fnr_gap,sex_group_accuracy_gap,sex_group_equalized_odds_diff,sex_group_worst_group_sensitivity,sex_group_macro_avg_fnr,sex_group_group_auc_mean,sex_group_group_brier_mean,age_group_dp_diff,age_group_di_ratio,age_group_tpr_gap,age_group_fpr_gap,age_group_fnr_gap,age_group_accuracy_gap,age_group_equalized_odds_diff,age_group_worst_group_sensitivity,age_group_macro_avg_fnr,age_group_group_auc_mean,age_group_group_brier_mean,income_group_dp_diff,income_group_di_ratio,income_group_tpr_gap,income_group_fpr_gap,income_group_fnr_gap,income_group_accuracy_gap,income_group_equalized_odds_diff,income_group_worst_group_sensitivity,income_group_macro_avg_fnr,income_group_group_auc_mean,income_group_group_brier_mean,education_group_dp_diff,education_group_di_ratio,education_group_tpr_gap,education_group_fpr_gap,education_group_fnr_gap,education_group_accuracy_gap,education_group_equalized_odds_diff,education_group_worst_group_sensitivity,education_group_macro_avg_fnr,education_group_group_auc_mean,education_group_group_brier_mean,intersection_group_dp_diff,intersection_group_di_ratio,intersection_group_tpr_gap,intersection_group_fpr_gap,intersection_group_fnr_gap,intersection_group_accuracy_gap,intersection_group_equalized_odds_diff,intersection_group_worst_group_sensitivity,intersection_group_macro_avg_fnr,intersection_group_group_auc_mean,intersection_group_group_brier_mean
Fairlearn-DP,Without Sensitive Attributes,0.714522279115372,0.3154317616360216,0.7405613335232939,0.44242063154311007,0.725191151379406,0.285477720884628,0.285477720884628,0.2594386664767061,0.008802013498023953,0.9758188027375057,0.04625286027214315,0.007472067355249579,0.046252860272143176,0.012811335570381055,0.04625286027214315,0.7161795721602893,0.26069399770363916,0.7243098744665453,0.28626756016987454,0.34193710230155816,0.29931406386927145,0.1634253169098302,0.28786818545845555,0.1634253169098302,0.23798446577992471,0.28786818545845555,0.5945945945945946,0.3020855780616201,0.7113657514502786,0.26552267693590276,0.3614655359797617,0.39667562125001404,0.2757908362510919,0.31544360578723124,0.27579083625109185,0.1979621982299694,0.31544360578723124,0.6053811659192825,0.24875942260887066,0.7017636479166094,0.3171565668845561,0.4121747123172662,0.3739680312021414,0.24622199767229946,0.3580894974408914,0.24622199767229946,0.19906023595483568,0.3580894974408914,0.6356968215158925,0.23479010856677948,0.6998499073628031,0.3184092990416229,0.3459866059279427,0.2937859233661037,0.2080434537881347,0.29600444552426136,0.20804345378813466,0.24245643557704832,0.29600444552426136,0.5797872340425532,0.3035008008082298,0.7103088434646249,0.2663481380867958
Fairlearn-DP,Without Sensitive Attributes,0.714892689835494,0.3164043583535109,0.7446929762074369,0.4441140235354093,0.7271026358555447,0.2851073101645059,0.28510731016450597,0.2553070237925631,0.010112771722609604,0.9723425272746512,0.056617001132237554,0.008513942278901065,0.05661700113223753,0.015057042565990053,0.056617001132237554,0.7151785714285714,0.2565129280053098,0.7262005262959104,0.28605266081607805,0.3391896962533536,0.3089406188483076,0.14516239806625986,0.2864611879106386,0.1451623980662599,0.2354010589314508,0.2864611879106386,0.6225596529284165,0.29122872610392275,0.7165033428427896,0.26554360212383327,0.371376360583934,0.38527113854064476,0.304501356743082,0.3252980843662564,0.304501356743082,0.20392564505950705,0.3252980843662564,0.5923824959481362,0.24251064282014345,0.7038579740115827,0.317941951084682,0.39111237630026063,0.3885634495268137,0.27288040905621114,0.34173458325361905,0.27288040905621114,0.2001456178808837,0.34173458325361905,0.6302032913843175,0.22652600343036935,0.7057153335257649,0.3203753444238622,0.35364809089065413,0.2963351163567589,0.18825917667809244,0.30087215425362046,0.18825917667809247,0.2489844214580591,0.30087215425362046,0.6130653266331658,0.29233204929282414,0.71536897382216,0.26663380295674827
Fairlearn-DP,Without Sensitive Attributes,0.7181828085848132,0.31760424377004687,0.7334757834757835,0.44326790633608815,0.7244485026703678,0.28181719141518685,0.2818171914151868,0.26652421652421654,0.010407808099660243,0.9710107794880828,0.0612998945899671,0.010186963209494637,0.06129989458996715,0.017629238377328438,0.0612998945899671,0.7019089574155654,0.26744109528945104,0.7236696489015275,0.28279689230812455,0.34638023442864985,0.2926127036178675,0.16355549364166444,0.2914057419785267,0.16355549364166452,0.24089767758382563,0.2914057419785267,0.5940366972477065,0.3082047352618582,0.71078744941848,0.26189657954602746,0.36620066513161764,0.3882294770742387,0.24997172157242653,0.3271769879546865,0.24997172157242653,0.21324162616104503,0.3271769879546865,0.6132619439868204,0.2564588695626533,0.6994248583590972,0.31622399448739563,0.4043587283920408,0.3779638376826271,0.2341404488762705,0.3669179465149074,0.2341404488762705,0.22367179301144746,0.3669179465149074,0.6388754241396025,0.2402091000271688,0.6973807196404499,0.32401020068232134,0.35395292737450623,0.2844276542783189,0.20182375533767505,0.2994708591433662,0.20182375533767505,0.24943944262908013,0.2994708591433662,0.5842696629213483,0.3091463838347923,0.709852490980022,0.2628802261155409
Fairlearn-DP,Without Sensitive Attributes,0.7134764135526745,0.3153614457831325,0.7457264957264957,0.443268416596105,0.7266896144227333,0.2865235864473254,0.28652358644732545,0.25427350427350426,0.018402713939740023,0.9505434810206286,0.03343563647100489,0.014734111049018561,0.03343563647100484,0.016682349596033208,0.03343563647100489,0.728146590567738,0.25513559119675955,0.7257246370976895,0.287613509647319,0.3389297692107507,0.30889037560643057,0.12046115999729268,0.28687711757601053,0.12046115999729265,0.23864500179760118,0.28687711757601053,0.6374133949191686,0.28603934823825966,0.7183814486393146,0.266336418041286,0.3650440277875572,0.39831058566283944,0.2623389326342024,0.3256063149277416,0.2623389326342023,0.20900379681057712,0.3256063149277416,0.6172190784155214,0.24327703255641922,0.7023663177526904,0.3204078225410864,0.4233576859679023,0.3729156279402091,0.2637930474597736,0.3810673809420947,0.26379304745977367,0.2210517474095549,0.3810673809420947,0.6370333988212181,0.2258870107215887,0.6988422493856877,0.3282111110875139,0.35786582066463246,0.2911406760401773,0.19887518633961243,0.30585930640432213,0.19887518633961243,0.2557887599379419,0.30585930640432213,0.5797872340425532,0.28866120899829845,0.7162810860155607,0.26760018441644123
Fairlearn-DP,Without Sensitive Attributes,0.7184599294025363,0.3202801461632156,0.7492520302037328,0.4487392806860361,0.7310761758735707,0.2815400705974637,0.28154007059746367,0.25074796979626723,0.014006475649257222,0.9616905089360702,0.06555008659192418,0.016738860515397913,0.06555008659192413,0.023489519577113205,0.06555008659192418,0.7148846960167715,0.25234026068726645,0.7297315770883541,0.28293120046652276,0.34462349056954433,0.29545520113115353,0.20660996899983675,0.28664810831832,0.20660996899983686,0.23373709535322007,0.28664810831832,0.5601851851851852,0.305896570463738,0.7109554181014692,0.26212670799944265,0.3657389103930111,0.3914298086382224,0.2627001326021562,0.32484362320265536,0.26270013260215624,0.20964788474632756,0.32484362320265536,0.6151329243353784,0.2411029610344058,0.7060394934544275,0.3155863846293021,0.3989590683221768,0.3856474458118613,0.24929000341464624,0.3534791578547567,0.24929000341464636,0.2086195742058371,0.3534791578547567,0.6372646184340932,0.22878080751157312,0.7031752679317037,0.32140187974900103,0.352100681812057,0.28261358956760463,0.2717219315570031,0.29519543735951026,0.27172193155700314,0.24506057469205378,0.29519543735951026,0.5268817204301075,0.3083028383719587,0.7091457001277144,0.2634792460272127
