threshold,score,precision,recall,f1,fnr,dp_diff,fnr_gap,worst_group_sensitivity,macro_avg_fnr,method
0.05,1.4323370479985413,0.28399518652226236,0.9752066115702479,0.43988816402609504,0.024793388429752095,0.011516118605545467,0.015540597086098569,0.9700967458223395,0.022132955634611224,Oracle (train on target)
0.060000000000000005,1.4229101333584873,0.29406490944952485,0.9681227863046045,0.451107137945262,0.031877213695395534,0.006467847018024608,0.020745007571343527,0.961301671064204,0.02832582515012419,Oracle (train on target)
0.07,1.4077976384570832,0.30114899925871014,0.9592680047225501,0.45839210155148097,0.04073199527744986,0.006314719763435672,0.025913100871770338,0.9507475813544415,0.036295868209673315,Oracle (train on target)
0.08,1.405947006537039,0.3069457659372027,0.9521841794569067,0.4642394589149518,0.0478158205430933,0.004438682755188217,0.020418152907980144,0.9454705364995603,0.04432038704644968,Oracle (train on target)
0.09,1.3961275391608134,0.31315892229597814,0.9468713105076741,0.4706572769953052,0.053128689492325853,0.004910566565366703,0.02565888057804326,0.9384344766930519,0.04873608301792648,Oracle (train on target)
0.1,1.3882833018442253,0.3214574898785425,0.9374262101534829,0.47874585468797104,0.06257378984651707,0.0039030111315666582,0.02368196251750726,0.9296394019349165,0.05851961680632993,Oracle (train on target)
0.11,1.3831268769911853,0.32789286461602846,0.9250295159386068,0.4841649930480457,0.07497048406139317,0.011222366142779272,0.012728383774745042,0.920844327176781,0.07279148093584648,Oracle (train on target)
0.12000000000000001,1.376740227747122,0.3339810017271157,0.9132231404958677,0.48909263357571925,0.08677685950413228,0.01640012972926408,0.0035701371684280503,0.9120492524186455,0.08616567899714042,Oracle (train on target)
0.13,1.366343925052185,0.3405201155812403,0.9043683589138135,0.49475213951235264,0.09563164108618649,0.01943630189102119,0.00338855124433729,0.9032541776605101,0.09505154671732124,Oracle (train on target)
0.14,1.3588816515766493,0.3472985347985348,0.8955135773317592,0.5004948861761794,0.10448642266824082,0.023540258323305863,0.0005321257079877323,0.8953386103781882,0.10439532676781793,Oracle (train on target)
0.15000000000000002,1.339563960005044,0.35428029404790135,0.8819362455726092,0.5054982236508205,0.11806375442739081,0.019530660401894218,0.0006379192463710492,0.881508078994614,0.11817296138220047,Oracle (train on target)
0.16,1.3095408685319299,0.35957812116752513,0.8654073199527745,0.5080575290244325,0.13459268004722547,0.015944763221279135,0.005264412790596695,0.8636763412489006,0.13369145235580104,Oracle (train on target)
0.16999999999999998,1.2886546353618742,0.3647862383000253,0.8512396694214877,0.5107136532672215,0.14876033057851235,0.020260068116989216,0.003050643524724894,0.8491921005385996,0.1492825776990379,Oracle (train on target)
0.18,1.276104353767637,0.36968911917098446,0.8423848878394333,0.5138638818869283,0.15761511216056667,0.01772689799771965,0.003232229448815682,0.8402154398563735,0.15816844541921873,Oracle (train on target)
0.19,1.2412831007476726,0.3755353319057816,0.8282172373081464,0.5167587476979743,0.17178276269185355,0.019477914541851105,0.011547285764137244,0.8204667863554758,0.17375957076245563,Oracle (train on target)
0.2,1.2205540207706742,0.38284286507495835,0.8140495867768595,0.5207703927492447,0.18595041322314054,0.019736442260713083,0.011837823242682455,0.8061041292639138,0.18797695911474493,Oracle (train on target)
0.21000000000000002,1.1992386574246163,0.38845822566752797,0.7987012987012987,0.5226965423990728,0.2012987012987013,0.017425662558269106,0.010369345769600635,0.7917414721723519,0.2030738549428478,Oracle (train on target)
0.22000000000000003,1.1649919212321447,0.3935253935253935,0.782172373081464,0.5236119344003162,0.21782762691853597,0.022806744096615816,0.015166372181668025,0.7719928186714542,0.22042399523771178,Oracle (train on target)
0.22999999999999998,1.1435239191801532,0.3982192201412343,0.7656434474616293,0.5239345586750151,0.23435655253837073,0.018569736688651417,0.011938879756959092,0.7576301615798923,0.2364003985416282,Oracle (train on target)
